Município,CÓDIGO,NOME,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,SOMA,SUBTRAÇÃO,MÉDIA
110001 ALTA FLORESTA D'OESTE,,,26,34,32,30,34,65,61,39,,,
110002 ARIQUEMES,,,73,118,82,56,45,60,68,41,,,
110003 CABIXI,,,1,3,12,1,2,3,6,-,,,
110004 CACOAL,,,140,168,139,42,70,53,28,22,,,
110005 CEREJEIRAS,,,22,20,27,28,22,27,23,15,,,
110006 COLORADO DO OESTE,,,31,17,23,19,20,23,15,16,,,
110007 CORUMBIARA,,,-,-,-,-,-,-,-,-,,,
110008 COSTA MARQUES,,,4,12,3,2,5,1,3,-,,,
110009 ESPIGAO D'OESTE,,,28,38,33,34,25,24,25,10,,,
110010 GUAJARA-MIRIM,,,36,30,38,31,25,44,35,43,,,
110011 JARU,,,21,32,20,14,14,18,26,-,,,
110012 JI-PARANA,,,99,130,51,52,43,17,6,-,,,
110013 MACHADINHO D'OESTE,,,29,25,11,32,30,26,25,9,,,
110014 NOVA BRASILANDIA D'OESTE,,,13,14,19,48,29,25,14,-,,,
110015 OURO PRETO DO OESTE,,,51,36,28,30,33,17,21,-,,,
110018 PIMENTA BUENO,,,82,47,48,49,35,54,59,-,,,
110020 PORTO VELHO,,,616,493,427,339,319,316,290,129,,,
110025 PRESIDENTE MEDICI,,,4,3,1,7,15,5,3,-,,,
110026 RIO CRESPO,,,-,-,-,-,-,-,-,-,,,
110028 ROLIM DE MOURA,,,26,35,22,24,31,17,-,-,,,
110029 SANTA LUZIA D'OESTE,,,12,9,29,21,22,26,-,-,,,
110030 VILHENA,,,102,91,57,56,45,38,42,20,,,
110032 SAO MIGUEL DO GUAPORE,,,75,34,28,12,13,21,-,-,,,
110033 NOVA MAMORE,,,20,23,9,2,7,10,13,12,,,
110034 ALVORADA D'OESTE,,,9,7,5,13,17,-,-,-,,,
110037 ALTO ALEGRE DOS PARECIS,,,20,16,8,13,5,9,-,-,,,
110040 ALTO PARAISO,,,10,7,5,6,9,5,3,-,,,
110045 BURITIS,,,29,27,18,13,14,13,-,-,,,
110050 NOVO HORIZONTE DO OESTE,,,16,18,10,7,5,14,18,-,,,
110060 CACAULANDIA,,,3,4,-,-,-,-,-,-,,,
110070 CAMPO NOVO DE RONDONIA,,,2,-,2,1,2,1,-,4,,,
110080 CANDEIAS DO JAMARI,,,-,-,-,-,-,-,1,-,,,
110090 CASTANHEIRAS,,,-,-,-,-,-,-,-,-,,,
110092 CHUPINGUAIA,,,-,-,-,-,-,-,-,-,,,
110094 CUJUBIM,,,21,17,11,9,7,4,3,8,,,
110100 GOVERNADOR JORGE TEIXEIRA,,,-,-,-,-,-,-,-,-,,,
110110 ITAPUA DO OESTE,,,-,2,2,2,1,2,-,-,,,
110120 MINISTRO ANDREAZZA,,,1,2,2,1,-,1,6,1,,,
110130 MIRANTE DA SERRA,,,4,-,1,8,-,-,-,-,,,
110140 MONTE NEGRO,,,6,5,3,6,2,1,5,-,,,
110143 NOVA UNIAO,,,4,-,1,1,5,5,1,-,,,
110145 PARECIS,,,2,2,2,-,-,-,-,-,,,
110146 PIMENTEIRAS DO OESTE,,,1,1,-,-,-,-,1,2,,,
110147 PRIMAVERA DE RONDONIA,,,-,-,-,-,-,-,-,-,,,
110148 SAO FELIPE D'OESTE,,,-,-,-,-,-,-,-,-,,,
110149 SAO FRANCISCO DO GUAPORE,,,15,17,10,9,3,5,4,3,,,
110150 SERINGUEIRAS,,,29,34,30,24,16,-,-,-,,,
110155 TEIXEIROPOLIS,,,-,-,2,-,-,-,-,-,,,
110160 THEOBROMA,,,1,-,2,-,1,-,1,-,,,
110170 URUPA,,,11,5,6,2,3,8,4,-,,,
110175 VALE DO ANARI,,,5,-,6,12,3,-,-,-,,,
110180 VALE DO PARAISO,,,4,5,3,1,-,6,5,1,,,
120001 ACRELANDIA,,,4,6,2,3,1,-,-,-,,,
120005 ASSIS BRASIL,,,2,6,7,5,9,-,-,-,,,
120010 BRASILEIA,,,21,23,6,6,11,13,9,-,,,
120013 BUJARI,,,-,-,-,-,-,-,-,-,,,
120017 CAPIXABA,,,-,-,-,-,-,-,-,-,,,
120020 CRUZEIRO DO SUL,,,123,132,81,65,34,19,8,-,,,
120025 EPITACIOLANDIA,,,-,-,-,-,-,-,-,-,,,
120030 FEIJO,,,5,8,1,2,2,1,-,-,,,
120032 JORDAO,,,-,-,-,-,-,-,-,-,,,
120033 MANCIO LIMA,,,1,6,7,9,5,2,7,-,,,
120034 MANOEL URBANO,,,7,2,1,2,6,1,-,-,,,
120035 MARECHAL THAUMATURGO,,,2,3,-,1,8,4,-,-,,,
120038 PLACIDO DE CASTRO,,,2,4,4,4,3,2,5,-,,,
120039 PORTO WALTER,,,1,-,2,2,-,2,1,-,,,
120040 RIO BRANCO,,,154,97,91,69,63,32,18,-,,,
120042 RODRIGUES ALVES,,,-,3,6,3,1,1,-,-,,,
120043 SANTA ROSA DO PURUS,,,2,4,-,-,-,-,-,-,,,
120045 SENADOR GUIOMARD,,,6,4,8,8,4,1,1,-,,,
120050 SENA MADUREIRA,,,40,36,28,28,19,22,2,-,,,
120060 TARAUACA,,,12,4,5,5,12,7,9,-,,,
120070 XAPURI,,,2,15,9,4,3,1,-,-,,,
120080 PORTO ACRE,,,-,-,-,-,-,-,-,-,,,
130002 ALVARAES,,,-,-,-,-,-,-,-,-,,,
130006 AMATURA,,,2,2,1,-,5,5,2,-,,,
130008 ANAMA,,,3,3,3,10,11,-,-,-,,,
130010 ANORI,,,4,10,2,7,2,9,16,-,,,
130014 APUI,,,21,12,7,8,6,4,3,-,,,
130020 ATALAIA DO NORTE,,,1,2,2,-,1,7,2,2,,,
130030 AUTAZES,,,35,2,4,1,1,3,-,-,,,
130040 BARCELOS,,,25,7,9,3,6,2,-,-,,,
130050 BARREIRINHA,,,7,7,1,-,4,2,12,-,,,
130060 BENJAMIN CONSTANT,,,3,-,-,3,3,2,-,-,,,
130063 BERURI,,,5,6,5,4,-,-,-,-,,,
