Município;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago
110001 ALTA FLORESTA D'OESTE;53;31;50;47;38;31;20;27;15;37;37;37;26;34;32;30;34;65;61;39
110002 ARIQUEMES;226;255;389;284;252;210;155;103;91;81;127;90;73;118;82;56;45;60;68;41
110003 CABIXI;27;5;6;11;6;20;2;3;-;5;3;3;1;3;12;1;2;3;6;-
110004 CACOAL;55;66;109;181;154;83;104;89;55;44;72;92;140;168;139;42;70;53;28;22
110005 CEREJEIRAS;26;23;56;33;33;11;12;21;24;16;25;21;22;20;27;28;22;27;23;15
110006 COLORADO DO OESTE;25;15;36;35;39;25;17;13;7;13;19;18;31;17;23;19;20;23;15;16
110007 CORUMBIARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
110008 COSTA MARQUES;6;3;3;9;11;12;14;5;5;3;-;2;4;12;3;2;5;1;3;-
110009 ESPIGAO D'OESTE;19;19;34;23;26;27;20;18;22;25;28;26;28;38;33;34;25;24;25;10
110010 GUAJARA-MIRIM;87;100;80;73;44;35;42;24;28;33;61;67;36;30;38;31;25;44;35;43
110011 JARU;90;131;271;152;53;45;37;26;12;13;20;13;21;32;20;14;14;18;26;-
110012 JI-PARANA;183;275;331;275;191;184;149;74;47;44;57;102;99;130;51;52;43;17;6;-
110013 MACHADINHO D'OESTE;29;43;74;40;58;24;5;14;11;15;21;27;29;25;11;32;30;26;25;9
110014 NOVA BRASILANDIA D'OESTE;21;16;33;22;9;17;25;14;13;8;2;9;13;14;19;48;29;25;14;-
110015 OURO PRETO DO OESTE;51;44;89;93;61;51;40;37;31;28;25;36;51;36;28;30;33;17;21;-
110018 PIMENTA BUENO;49;42;80;55;76;47;38;35;31;53;37;45;82;47;48;49;35;54;59;-
110020 PORTO VELHO;480;651;936;937;762;604;497;365;362;367;366;458;616;493;427;339;319;316;290;129
110025 PRESIDENTE MEDICI;14;23;47;41;30;28;11;-;3;3;2;1;4;3;1;7;15;5;3;-
110026 RIO CRESPO;-;2;2;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-
110028 ROLIM DE MOURA;44;31;124;127;97;49;24;22;15;16;21;19;26;35;22;24;31;17;-;-
110029 SANTA LUZIA D'OESTE;14;14;22;11;19;9;11;8;5;7;19;7;12;9;29;21;22;26;-;-
